D_carattere;D_valore;P_Carattere;P_Valore;Resto;Lettera
0;1;0;0;0;A
1;0;1;1;1;B
2;5;2;2;2;C
3;7;3;3;3;D
4;9;4;4;4;E
5;13;5;5;5;F
6;15;6;6;6;G
7;17;7;7;7;H
8;19;8;8;8;I
9;21;9;9;9;J
A;1;A;0;10;K
B;0;B;1;11;L
C;5;C;2;12;M
D;7;D;3;13;N
E;9;E;4;14;O
F;13;F;5;15;P
G;15;G;6;16;Q
H;17;H;7;17;R
I;19;I;8;18;S
J;21;J;9;19;T
K;2;K;10;20;U
L;4;L;11;21;V
M;18;M;12;22;W
N;20;N;13;23;X
O;11;O;14;24;Y
P;3;P;15;25;Z
Q;6;Q;16;;
R;8;R;17;;
S;12;S;18;;
T;14;T;19;;
U;16;U;20;;
V;10;V;21;;
W;22;W;22;;
X;25;X;23;;
Y;24;Y;24;;
Z;23;Z;25;;
